Year,Region,group_label_62,group_1,group_2,group_12,group_label_22,group_label_23,group_13,group_14,group_label_88,Value
2015,,,,,,,,,,,38303
2016,,,,,,,,,,,219981
2017,,,,,,,,,,,393228
2018,,,,,,,,,,,400478
2019,,,,,,,,,,,404030
2020,,,,,,,,,,,354018
2021,,,,,,,,,,,433810
2022,,,,,,,,,,,501004
2023,,,,,,,,,,,490220
2024,,,,,,,,,,,456868
2015,autonomous_Republic_of_Crimea,,,,,,,,,,
2016,autonomous_Republic_of_Crimea,,,,,,,,,,
2017,autonomous_Republic_of_Crimea,,,,,,,,,,
2018,autonomous_Republic_of_Crimea,,,,,,,,,,
2019,autonomous_Republic_of_Crimea,,,,,,,,,,
2020,autonomous_Republic_of_Crimea,,,,,,,,,,
2021,autonomous_Republic_of_Crimea,,,,,,,,,,
2022,autonomous_Republic_of_Crimea,,,,,,,,,,
2023,autonomous_Republic_of_Crimea,,,,,,,,,,
2024,autonomous_Republic_of_Crimea,,,,,,,,,,
2015,11_reg_Vinnytsya,,,,,,,,,,1866
2016,11_reg_Vinnytsya,,,,,,,,,,20836
2017,11_reg_Vinnytsya,,,,,,,,,,46086
2018,11_reg_Vinnytsya,,,,,,,,,,42832
2019,11_reg_Vinnytsya,,,,,,,,,,36888
2020,11_reg_Vinnytsya,,,,,,,,,,21950
2021,11_reg_Vinnytsya,,,,,,,,,,35167
2022,11_reg_Vinnytsya,,,,,,,,,,38250
2023,11_reg_Vinnytsya,,,,,,,,,,35088
2024,11_reg_Vinnytsya,,,,,,,,,,32605
2015,12_reg_Volyn,,,,,,,,,,1232
2016,12_reg_Volyn,,,,,,,,,,8859
2017,12_reg_Volyn,,,,,,,,,,17635
2018,12_reg_Volyn,,,,,,,,,,16375
2019,12_reg_Volyn,,,,,,,,,,17322
2020,12_reg_Volyn,,,,,,,,,,15319
2021,12_reg_Volyn,,,,,,,,,,20039
2022,12_reg_Volyn,,,,,,,,,,14709
2023,12_reg_Volyn,,,,,,,,,,18670
2024,12_reg_Volyn,,,,,,,,,,14192
2015,13_reg_Dnipropetrovsk,,,,,,,,,,4069
2016,13_reg_Dnipropetrovsk,,,,,,,,,,28506
2017,13_reg_Dnipropetrovsk,,,,,,,,,,50773
2018,13_reg_Dnipropetrovsk,,,,,,,,,,54653
2019,13_reg_Dnipropetrovsk,,,,,,,,,,52595
2020,13_reg_Dnipropetrovsk,,,,,,,,,,44215
2021,13_reg_Dnipropetrovsk,,,,,,,,,,54352
2022,13_reg_Dnipropetrovsk,,,,,,,,,,41359
2023,13_reg_Dnipropetrovsk,,,,,,,,,,40687
2024,13_reg_Dnipropetrovsk,,,,,,,,,,31580
2015,14_reg_Donetsk,,,,,,,,,,711
2016,14_reg_Donetsk,,,,,,,,,,5703
2017,14_reg_Donetsk,,,,,,,,,,18599
2018,14_reg_Donetsk,,,,,,,,,,27060
2019,14_reg_Donetsk,,,,,,,,,,31623
2020,14_reg_Donetsk,,,,,,,,,,33768
2021,14_reg_Donetsk,,,,,,,,,,35478
2022,14_reg_Donetsk,,,,,,,,,,13304
2023,14_reg_Donetsk,,,,,,,,,,183
2024,14_reg_Donetsk,,,,,,,,,,3503
2015,15_reg_Zhytomyr,,,,,,,,,,1316
2016,15_reg_Zhytomyr,,,,,,,,,,10343
2017,15_reg_Zhytomyr,,,,,,,,,,23119
2018,15_reg_Zhytomyr,,,,,,,,,,23062
2019,15_reg_Zhytomyr,,,,,,,,,,20142
2020,15_reg_Zhytomyr,,,,,,,,,,21802
2021,15_reg_Zhytomyr,,,,,,,,,,31318
2022,15_reg_Zhytomyr,,,,,,,,,,29269
2023,15_reg_Zhytomyr,,,,,,,,,,29832
2024,15_reg_Zhytomyr,,,,,,,,,,25061
2015,16_reg_Zakarpattya,,,,,,,,,,829
2016,16_reg_Zakarpattya,,,,,,,,,,4847
2017,16_reg_Zakarpattya,,,,,,,,,,11230
2018,16_reg_Zakarpattya,,,,,,,,,,13549
2019,16_reg_Zakarpattya,,,,,,,,,,11231
2020,16_reg_Zakarpattya,,,,,,,,,,9396
2021,16_reg_Zakarpattya,,,,,,,,,,14638
2022,16_reg_Zakarpattya,,,,,,,,,,15248
2023,16_reg_Zakarpattya,,,,,,,,,,15990
2024,16_reg_Zakarpattya,,,,,,,,,,15311
2015,17_reg_Zaporizhzhya,,,,,,,,,,2094
2016,17_reg_Zaporizhzhya,,,,,,,,,,14941
2017,17_reg_Zaporizhzhya,,,,,,,,,,27930
2018,17_reg_Zaporizhzhya,,,,,,,,,,36784
2019,17_reg_Zaporizhzhya,,,,,,,,,,47164
2020,17_reg_Zaporizhzhya,,,,,,,,,,42345
2021,17_reg_Zaporizhzhya,,,,,,,,,,47366
2022,17_reg_Zaporizhzhya,,,,,,,,,,18822
2023,17_reg_Zaporizhzhya,,,,,,,,,,14296
2024,17_reg_Zaporizhzhya,,,,,,,,,,10879
2015,18_reg_Ivano-Frankivsk,,,,,,,,,,1062
2016,18_reg_Ivano-Frankivsk,,,,,,,,,,9858
2017,18_reg_Ivano-Frankivsk,,,,,,,,,,17836
2018,18_reg_Ivano-Frankivsk,,,,,,,,,,18607
2019,18_reg_Ivano-Frankivsk,,,,,,,,,,17491
2020,18_reg_Ivano-Frankivsk,,,,,,,,,,11633
2021,18_reg_Ivano-Frankivsk,,,,,,,,,,19949
2022,18_reg_Ivano-Frankivsk,,,,,,,,,,25556
2023,18_reg_Ivano-Frankivsk,,,,,,,,,,28422
2024,18_reg_Ivano-Frankivsk,,,,,,,,,,28492
2015,19_reg_Kyiv,,,,,,,,,,1223
2016,19_reg_Kyiv,,,,,,,,,,8040
2017,19_reg_Kyiv,,,,,,,,,,23547
2018,19_reg_Kyiv,,,,,,,,,,30849
2019,19_reg_Kyiv,,,,,,,,,,37824
2020,19_reg_Kyiv,,,,,,,,,,36650
2021,19_reg_Kyiv,,,,,,,,,,42744
2022,19_reg_Kyiv,,,,,,,,,,29784
2023,19_reg_Kyiv,,,,,,,,,,34381
2024,19_reg_Kyiv,,,,,,,,,,30103
2015,20_reg_Kirovohrad,,,,,,,,,,2054
2016,20_reg_Kirovohrad,,,,,,,,,,12539
2017,20_reg_Kirovohrad,,,,,,,,,,25146
2018,20_reg_Kirovohrad,,,,,,,,,,22179
2019,20_reg_Kirovohrad,,,,,,,,,,18063
2020,20_reg_Kirovohrad,,,,,,,,,,18005
2021,20_reg_Kirovohrad,,,,,,,,,,18977
2022,20_reg_Kirovohrad,,,,,,,,,,13946
2023,20_reg_Kirovohrad,,,,,,,,,,14429
2024,20_reg_Kirovohrad,,,,,,,,,,14091
2015,21_reg_Luhansk,,,,,,,,,,250
2016,21_reg_Luhansk,,,,,,,,,,3497
2017,21_reg_Luhansk,,,,,,,,,,11100
2018,21_reg_Luhansk,,,,,,,,,,13076
2019,21_reg_Luhansk,,,,,,,,,,10329
2020,21_reg_Luhansk,,,,,,,,,,11242
2021,21_reg_Luhansk,,,,,,,,,,13120
2022,21_reg_Luhansk,,,,,,,,,,2080
2023,21_reg_Luhansk,,,,,,,,,,
2024,21_reg_Luhansk,,,,,,,,,,
2015,22_reg_Lviv,,,,,,,,,,1969
2016,22_reg_Lviv,,,,,,,,,,15887
2017,22_reg_Lviv,,,,,,,,,,30570
2018,22_reg_Lviv,,,,,,,,,,29252
2019,22_reg_Lviv,,,,,,,,,,27937
2020,22_reg_Lviv,,,,,,,,,,30235
2021,22_reg_Lviv,,,,,,,,,,38138
2022,22_reg_Lviv,,,,,,,,,,43626
2023,22_reg_Lviv,,,,,,,,,,34016
2024,22_reg_Lviv,,,,,,,,,,33457
2015,23_reg_Mykolayiv,,,,,,,,,,929
2016,23_reg_Mykolayiv,,,,,,,,,,9661
2017,23_reg_Mykolayiv,,,,,,,,,,23511
2018,23_reg_Mykolayiv,,,,,,,,,,24354
2019,23_reg_Mykolayiv,,,,,,,,,,18515
2020,23_reg_Mykolayiv,,,,,,,,,,18329
2021,23_reg_Mykolayiv,,,,,,,,,,20155
2022,23_reg_Mykolayiv,,,,,,,,,,11273
2023,23_reg_Mykolayiv,,,,,,,,,,15049
2024,23_reg_Mykolayiv,,,,,,,,,,13837
2015,24_reg_Odesa,,,,,,,,,,2175
2016,24_reg_Odesa,,,,,,,,,,18664
2017,24_reg_Odesa,,,,,,,,,,27723
2018,24_reg_Odesa,,,,,,,,,,22542
2019,24_reg_Odesa,,,,,,,,,,22230
2020,24_reg_Odesa,,,,,,,,,,24575
2021,24_reg_Odesa,,,,,,,,,,28272
2022,24_reg_Odesa,,,,,,,,,,23538
2023,24_reg_Odesa,,,,,,,,,,26872
2024,24_reg_Odesa,,,,,,,,,,23861
2015,25_reg_Poltava,,,,,,,,,,1960
2016,25_reg_Poltava,,,,,,,,,,11465
2017,25_reg_Poltava,,,,,,,,,,28980
2018,25_reg_Poltava,,,,,,,,,,34488
2019,25_reg_Poltava,,,,,,,,,,33411
2020,25_reg_Poltava,,,,,,,,,,30935
2021,25_reg_Poltava,,,,,,,,,,37619
2022,25_reg_Poltava,,,,,,,,,,42934
2023,25_reg_Poltava,,,,,,,,,,41622
2024,25_reg_Poltava,,,,,,,,,,33114
2015,26_reg_Rivne,,,,,,,,,,2067
2016,26_reg_Rivne,,,,,,,,,,10194
2017,26_reg_Rivne,,,,,,,,,,16783
2018,26_reg_Rivne,,,,,,,,,,19637
2019,26_reg_Rivne,,,,,,,,,,19121
2020,26_reg_Rivne,,,,,,,,,,17593
2021,26_reg_Rivne,,,,,,,,,,22052
2022,26_reg_Rivne,,,,,,,,,,23864
2023,26_reg_Rivne,,,,,,,,,,17904
2024,26_reg_Rivne,,,,,,,,,,19644
2015,27_reg_Sumy,,,,,,,,,,2881
2016,27_reg_Sumy,,,,,,,,,,12580
2017,27_reg_Sumy,,,,,,,,,,23526
2018,27_reg_Sumy,,,,,,,,,,30806
2019,27_reg_Sumy,,,,,,,,,,33409
2020,27_reg_Sumy,,,,,,,,,,30514
2021,27_reg_Sumy,,,,,,,,,,35493
2022,27_reg_Sumy,,,,,,,,,,25019
2023,27_reg_Sumy,,,,,,,,,,32863
2024,27_reg_Sumy,,,,,,,,,,27548
2015,28_reg_Ternopil,,,,,,,,,,948
2016,28_reg_Ternopil,,,,,,,,,,9833
2017,28_reg_Ternopil,,,,,,,,,,19410
2018,28_reg_Ternopil,,,,,,,,,,21801
2019,28_reg_Ternopil,,,,,,,,,,21503
2020,28_reg_Ternopil,,,,,,,,,,18096
2021,28_reg_Ternopil,,,,,,,,,,25895
2022,28_reg_Ternopil,,,,,,,,,,22279
2023,28_reg_Ternopil,,,,,,,,,,24619
2024,28_reg_Ternopil,,,,,,,,,,26252
2015,29_reg_Kharkiv,,,,,,,,,,2680
2016,29_reg_Kharkiv,,,,,,,,,,9275
2017,29_reg_Kharkiv,,,,,,,,,,22247
2018,29_reg_Kharkiv,,,,,,,,,,31720
2019,29_reg_Kharkiv,,,,,,,,,,31263
2020,29_reg_Kharkiv,,,,,,,,,,36544
2021,29_reg_Kharkiv,,,,,,,,,,41621
2022,29_reg_Kharkiv,,,,,,,,,,23384
2023,29_reg_Kharkiv,,,,,,,,,,26660
2024,29_reg_Kharkiv,,,,,,,,,,28040
2015,30_reg_Kherson,,,,,,,,,,1072
2016,30_reg_Kherson,,,,,,,,,,7240
2017,30_reg_Kherson,,,,,,,,,,21013
2018,30_reg_Kherson,,,,,,,,,,22532
2019,30_reg_Kherson,,,,,,,,,,22129
2020,30_reg_Kherson,,,,,,,,,,18543
2021,30_reg_Kherson,,,,,,,,,,27880
2022,30_reg_Kherson,,,,,,,,,,4959
2023,30_reg_Kherson,,,,,,,,,,1797
2024,30_reg_Kherson,,,,,,,,,,4074
2015,31_reg_Khmelnytskiy,,,,,,,,,,1599
2016,31_reg_Khmelnytskiy,,,,,,,,,,11274
2017,31_reg_Khmelnytskiy,,,,,,,,,,23410
2018,31_reg_Khmelnytskiy,,,,,,,,,,25215
2019,31_reg_Khmelnytskiy,,,,,,,,,,23400
2020,31_reg_Khmelnytskiy,,,,,,,,,,20164
2021,31_reg_Khmelnytskiy,,,,,,,,,,27208
2022,31_reg_Khmelnytskiy,,,,,,,,,,26244
2023,31_reg_Khmelnytskiy,,,,,,,,,,25110
2024,31_reg_Khmelnytskiy,,,,,,,,,,22285
2015,32_reg_Cherkasy,,,,,,,,,,1444
2016,32_reg_Cherkasy,,,,,,,,,,8859
2017,32_reg_Cherkasy,,,,,,,,,,17949
2018,32_reg_Cherkasy,,,,,,,,,,20996
2019,32_reg_Cherkasy,,,,,,,,,,19704
2020,32_reg_Cherkasy,,,,,,,,,,17278
2021,32_reg_Cherkasy,,,,,,,,,,20222
2022,32_reg_Cherkasy,,,,,,,,,,20381
2023,32_reg_Cherkasy,,,,,,,,,,21314
2024,32_reg_Cherkasy,,,,,,,,,,18561
2015,33_reg_Chernivtsi,,,,,,,,,,1147
2016,33_reg_Chernivtsi,,,,,,,,,,5565
2017,33_reg_Chernivtsi,,,,,,,,,,9072
2018,33_reg_Chernivtsi,,,,,,,,,,8802
2019,33_reg_Chernivtsi,,,,,,,,,,9295
2020,33_reg_Chernivtsi,,,,,,,,,,8396
2021,33_reg_Chernivtsi,,,,,,,,,,13566
2022,33_reg_Chernivtsi,,,,,,,,,,14886
2023,33_reg_Chernivtsi,,,,,,,,,,16622
2024,33_reg_Chernivtsi,,,,,,,,,,16955
2015,34_reg_Chernihiv,,,,,,,,,,1184
2016,34_reg_Chernihiv,,,,,,,,,,8233
2017,34_reg_Chernihiv,,,,,,,,,,16409
2018,34_reg_Chernihiv,,,,,,,,,,14357
2019,34_reg_Chernihiv,,,,,,,,,,26213
2020,34_reg_Chernihiv,,,,,,,,,,21014
2021,34_reg_Chernihiv,,,,,,,,,,27715
2022,34_reg_Chernihiv,,,,,,,,,,21845
2023,34_reg_Chernihiv,,,,,,,,,,28509
2024,34_reg_Chernihiv,,,,,,,,,,26858
2015,35_reg_Kyiv_city,,,,,,,,,,2548
2016,35_reg_Kyiv_city,,,,,,,,,,8340
2017,35_reg_Kyiv_city,,,,,,,,,,13736
2018,35_reg_Kyiv_city,,,,,,,,,,18314
2019,35_reg_Kyiv_city,,,,,,,,,,15175
2020,35_reg_Kyiv_city,,,,,,,,,,10390
2021,35_reg_Kyiv_city,,,,,,,,,,14218
2022,35_reg_Kyiv_city,,,,,,,,,,9989
2023,35_reg_Kyiv_city,,,,,,,,,,18719
2024,35_reg_Kyiv_city,,,,,,,,,,23767
2015,city_Sevastopol,,,,,,,,,,
2016,city_Sevastopol,,,,,,,,,,
2017,city_Sevastopol,,,,,,,,,,
2018,city_Sevastopol,,,,,,,,,,
2019,city_Sevastopol,,,,,,,,,,
2020,city_Sevastopol,,,,,,,,,,
2021,city_Sevastopol,,,,,,,,,,
2022,city_Sevastopol,,,,,,,,,,
2023,city_Sevastopol,,,,,,,,,,
2024,city_Sevastopol,,,,,,,,,,
2015,,group_label_62,,,,,,,,,
2016,,group_label_62,,,,,,,,,
2017,,group_label_62,,,,,,,,,
2018,,group_label_62,,,,,,,,,
2019,,group_label_62,,,,,,,,,
2020,,group_label_62,,,,,,,,,
2021,,group_label_62,,,,,,,,,
2022,,group_label_62,,,,,,,,,121832
2023,,group_label_62,,,,,,,,,121108
2024,,group_label_62,,,,,,,,,102969
2015,,,group_1,,,,,,,,
2016,,,group_1,,,,,,,,
2017,,,group_1,,,,,,,,
2018,,,group_1,,,,,,,,
2019,,,group_1,,,,,,,,
2020,,,group_1,,,,,,,,
2021,,,group_1,,,,,,,,
2022,,,group_1,,,,,,,,
2023,,,group_1,,,,,,,,
2024,,,group_1,,,,,,,,
2015,,,group_label_63,,,,,,,,169
2016,,,group_label_63,,,,,,,,1413
2017,,,group_label_63,,,,,,,,1803
2018,,,group_label_63,,,,,,,,2051
2019,,,group_label_63,,,,,,,,1976
2020,,,group_label_63,,,,,,,,1893
2021,,,group_label_63,,,,,,,,2972
2022,,,group_label_63,,,,,,,,4601
2023,,,group_label_63,,,,,,,,4830
2024,,,group_label_63,,,,,,,,5253
2015,,,group_label_64,,,,,,,,5827
2016,,,group_label_64,,,,,,,,48456
2017,,,group_label_64,,,,,,,,88404
2018,,,group_label_64,,,,,,,,86792
2019,,,group_label_64,,,,,,,,70756
2020,,,group_label_64,,,,,,,,71945
2021,,,group_label_64,,,,,,,,93881
2022,,,group_label_64,,,,,,,,85801
2023,,,group_label_64,,,,,,,,75787
2024,,,group_label_64,,,,,,,,83558
2015,,,group_label_65,,,,,,,,18009
2016,,,group_label_65,,,,,,,,110488
2017,,,group_label_65,,,,,,,,196311
2018,,,group_label_65,,,,,,,,193433
2019,,,group_label_65,,,,,,,,185227
2020,,,group_label_65,,,,,,,,172036
2021,,,group_label_65,,,,,,,,220951
2022,,,group_label_65,,,,,,,,192322
2023,,,group_label_65,,,,,,,,185630
2024,,,group_label_65,,,,,,,,167067
2015,,,,group_2,,,,,,,
2016,,,,group_2,,,,,,,
2017,,,,group_2,,,,,,,
2018,,,,group_2,,,,,,,
2019,,,,group_2,,,,,,,
2020,,,,group_2,,,,,,,
2021,,,,group_2,,,,,,,
2022,,,,group_2,,,,,,,
2023,,,,group_2,,,,,,,
2024,,,,group_2,,,,,,,
2015,,,,group_label_9,,,,,,,15673
2016,,,,group_label_9,,,,,,,93488
2017,,,,group_label_9,,,,,,,158462
2018,,,,group_label_9,,,,,,,151787
2019,,,,group_label_9,,,,,,,152578
2020,,,,group_label_9,,,,,,,137011
2021,,,,group_label_9,,,,,,,179040
2022,,,,group_label_9,,,,,,,153006
