Year,Region,group_1,group_2,group_5,group_10,group_label_97,group_label_98,group_label_99,group_label_100,Value
2015,,,,,,,,,,
2016,,,,,,,,,,11.9
2017,,,,,,,,,,
2018,,,,,,,,,,18.4
2019,,,,,,,,,,
2020,,,,,,,,,,25.4
2021,,,,,,,,,,
2022,,,,,,,,,,
2023,,,,,,,,,,23.8
2024,,,,,,,,,,
2015,Ukraine,,,,,,,,,
2016,Ukraine,,,,,,,,,11.9
2017,Ukraine,,,,,,,,,
2018,Ukraine,,,,,,,,,18.4
2019,Ukraine,,,,,,,,,
2020,Ukraine,,,,,,,,,25.4
2021,Ukraine,,,,,,,,,
2022,Ukraine,,,,,,,,,
2023,Ukraine,,,,,,,,,23.8
2024,Ukraine,,,,,,,,,
2015,35_reg_Kyiv_city,,,,,,,,,
2016,35_reg_Kyiv_city,,,,,,,,,18.8
2017,35_reg_Kyiv_city,,,,,,,,,
2018,35_reg_Kyiv_city,,,,,,,,,34.1
2019,35_reg_Kyiv_city,,,,,,,,,
2020,35_reg_Kyiv_city,,,,,,,,,
2021,35_reg_Kyiv_city,,,,,,,,,
2022,35_reg_Kyiv_city,,,,,,,,,
2023,35_reg_Kyiv_city,,,,,,,,,30.9
2024,35_reg_Kyiv_city,,,,,,,,,
2015,,group_1,,,,,,,,
2016,,group_1,,,,,,,,
2017,,group_1,,,,,,,,
2018,,group_1,,,,,,,,
2019,,group_1,,,,,,,,
2020,,group_1,,,,,,,,
2021,,group_1,,,,,,,,
2022,,group_1,,,,,,,,
2023,,group_1,,,,,,,,
2024,,group_1,,,,,,,,
2015,,group_label_89,,,,,,,,
2016,,group_label_89,,,,,,,,
2017,,group_label_89,,,,,,,,
2018,,group_label_89,,,,,,,,21.8
2019,,group_label_89,,,,,,,,
2020,,group_label_89,,,,,,,,
2021,,group_label_89,,,,,,,,
2022,,group_label_89,,,,,,,,
2023,,group_label_89,,,,,,,,24.8
2024,,group_label_89,,,,,,,,
2015,,group_label_90,,,,,,,,
2016,,group_label_90,,,,,,,,
2017,,group_label_90,,,,,,,,
2018,,group_label_90,,,,,,,,25.5
2019,,group_label_90,,,,,,,,
2020,,group_label_90,,,,,,,,
2021,,group_label_90,,,,,,,,
2022,,group_label_90,,,,,,,,
2023,,group_label_90,,,,,,,,26.5
2024,,group_label_90,,,,,,,,
2015,,,group_2,,,,,,,
2016,,,group_2,,,,,,,
2017,,,group_2,,,,,,,
2018,,,group_2,,,,,,,
2019,,,group_2,,,,,,,
2020,,,group_2,,,,,,,
2021,,,group_2,,,,,,,
2022,,,group_2,,,,,,,
2023,,,group_2,,,,,,,
2024,,,group_2,,,,,,,
2015,,,group_label_9,,,,,,,
2016,,,group_label_9,,,,,,,13.4
2017,,,group_label_9,,,,,,,
2018,,,group_label_9,,,,,,,25.1
2019,,,group_label_9,,,,,,,
2020,,,group_label_9,,,,,,,
2021,,,group_label_9,,,,,,,
2022,,,group_label_9,,,,,,,
2023,,,group_label_9,,,,,,,25.7
2024,,,group_label_9,,,,,,,
2015,,,group_label_8,,,,,,,
2016,,,group_label_8,,,,,,,10.6
2017,,,group_label_8,,,,,,,
2018,,,group_label_8,,,,,,,24.0
2019,,,group_label_8,,,,,,,
2020,,,group_label_8,,,,,,,
2021,,,group_label_8,,,,,,,
2022,,,group_label_8,,,,,,,
2023,,,group_label_8,,,,,,,22.1
2024,,,group_label_8,,,,,,,
2015,,,,group_5,,,,,,
2016,,,,group_5,,,,,,
2017,,,,group_5,,,,,,
2018,,,,group_5,,,,,,
2019,,,,group_5,,,,,,
2020,,,,group_5,,,,,,
2021,,,,group_5,,,,,,
2022,,,,group_5,,,,,,
2023,,,,group_5,,,,,,
2024,,,,group_5,,,,,,
2015,,,,group_label_91,,,,,,
2016,,,,group_label_91,,,,,,11.8
2017,,,,group_label_91,,,,,,
2018,,,,group_label_91,,,,,,24.7
2019,,,,group_label_91,,,,,,
2020,,,,group_label_91,,,,,,
2021,,,,group_label_91,,,,,,
2022,,,,group_label_91,,,,,,
2023,,,,group_label_91,,,,,,24.9
2024,,,,group_label_91,,,,,,
2015,,,,group_label_92,,,,,,
2016,,,,group_label_92,,,,,,14.0
2017,,,,group_label_92,,,,,,
2018,,,,group_label_92,,,,,,21.8
2019,,,,group_label_92,,,,,,
2020,,,,group_label_92,,,,,,
2021,,,,group_label_92,,,,,,
2022,,,,group_label_92,,,,,,
2023,,,,group_label_92,,,,,,25.0
2024,,,,group_label_92,,,,,,
2015,,,,group_label_93,,,,,,
2016,,,,group_label_93,,,,,,8.9
2017,,,,group_label_93,,,,,,
2018,,,,group_label_93,,,,,,24.5
2019,,,,group_label_93,,,,,,
2020,,,,group_label_93,,,,,,
2021,,,,group_label_93,,,,,,
2022,,,,group_label_93,,,,,,
2023,,,,group_label_93,,,,,,19.1
2024,,,,group_label_93,,,,,,
2015,,,,,group_10,,,,,
2016,,,,,group_10,,,,,
2017,,,,,group_10,,,,,
2018,,,,,group_10,,,,,
2019,,,,,group_10,,,,,
2020,,,,,group_10,,,,,
2021,,,,,group_10,,,,,
2022,,,,,group_10,,,,,
2023,,,,,group_10,,,,,
2024,,,,,group_10,,,,,
2015,,,,,group_label_94,,,,,
2016,,,,,group_label_94,,,,,
2017,,,,,group_label_94,,,,,
2018,,,,,group_label_94,,,,,
2019,,,,,group_label_94,,,,,
2020,,,,,group_label_94,,,,,
2021,,,,,group_label_94,,,,,
2022,,,,,group_label_94,,,,,
2023,,,,,group_label_94,,,,,16.1
2024,,,,,group_label_94,,,,,
2015,,,,,group_label_95,,,,,
2016,,,,,group_label_95,,,,,
2017,,,,,group_label_95,,,,,
2018,,,,,group_label_95,,,,,
2019,,,,,group_label_95,,,,,
2020,,,,,group_label_95,,,,,
2021,,,,,group_label_95,,,,,
2022,,,,,group_label_95,,,,,
2023,,,,,group_label_95,,,,,28.0
2024,,,,,group_label_95,,,,,
2015,,,,,group_label_96,,,,,
2016,,,,,group_label_96,,,,,
2017,,,,,group_label_96,,,,,
2018,,,,,group_label_96,,,,,
2019,,,,,group_label_96,,,,,
2020,,,,,group_label_96,,,,,
2021,,,,,group_label_96,,,,,
2022,,,,,group_label_96,,,,,
2023,,,,,group_label_96,,,,,30.1
2024,,,,,group_label_96,,,,,
2015,,,,,,group_label_97,,,,
2016,,,,,,group_label_97,,,,14.4
2017,,,,,,group_label_97,,,,
2018,,,,,,group_label_97,,,,10.6
2019,,,,,,group_label_97,,,,
2020,,,,,,group_label_97,,,,
2021,,,,,,group_label_97,,,,
2022,,,,,,group_label_97,,,,
2023,,,,,,group_label_97,,,,21.9
2024,,,,,,group_label_97,,,,
2015,,,,,,,group_label_98,,,
2016,,,,,,,group_label_98,,,10.6
2017,,,,,,,group_label_98,,,
2018,,,,,,,group_label_98,,,37.0
2019,,,,,,,group_label_98,,,
2020,,,,,,,group_label_98,,,
2021,,,,,,,group_label_98,,,
2022,,,,,,,group_label_98,,,
2023,,,,,,,group_label_98,,,22.2
2024,,,,,,,group_label_98,,,
2015,,,,,,,,group_label_99,,
2016,,,,,,,,group_label_99,,9.0
2017,,,,,,,,group_label_99,,
2018,,,,,,,,group_label_99,,20.7
2019,,,,,,,,group_label_99,,
2020,,,,,,,,group_label_99,,
2021,,,,,,,,group_label_99,,
2022,,,,,,,,group_label_99,,
2023,,,,,,,,group_label_99,,22.1
2024,,,,,,,,group_label_99,,
2015,,,,,,,,,group_label_100,
2016,,,,,,,,,group_label_100,12.3
2017,,,,,,,,,group_label_100,
2018,,,,,,,,,group_label_100,27.2
2019,,,,,,,,,group_label_100,
2020,,,,,,,,,group_label_100,
2021,,,,,,,,,group_label_100,
2022,,,,,,,,,group_label_100,
2023,,,,,,,,,group_label_100,32.1
2024,,,,,,,,,group_label_100,
