Year,group_15,Value
2015,,
2016,,37
2017,,
2018,,
2019,,24
2020,,
2021,,
2022,,26
2023,,
2024,,
2015,group_label_98,
2016,group_label_98,
2017,group_label_98,
2018,group_label_98,
2019,group_label_98,2
2020,group_label_98,
2021,group_label_98,
2022,group_label_98,2
2023,group_label_98,
2024,group_label_98,
2015,group_label_96,
2016,group_label_96,
2017,group_label_96,
2018,group_label_96,
2019,group_label_96,16
2020,group_label_96,
2021,group_label_96,
2022,group_label_96,16
2023,group_label_96,
2024,group_label_96,
2015,group_label_99,
2016,group_label_99,9
2017,group_label_99,
2018,group_label_99,
2019,group_label_99,6
2020,group_label_99,
2021,group_label_99,
2022,group_label_99,8
2023,group_label_99,
2024,group_label_99,
