Year,Sphere,Status,Regin,Value
2015,,,Ukraine,177.0
2015,,,11_reg_Vinnytsya,
2015,,,12_reg_Volyn,
2015,,,13_reg_Dnipropetrovsk,
2015,,,14_reg_Donetsk,7.0
2015,,,15_reg_Zhytomyr,1.0
2015,,,16_reg_Zakarpattya,4.0
2015,,,17_reg_Zaporizhzhya,7.0
2015,,,18_reg_Ivano-Frankivsk,1.0
2015,,,19_reg_Kyiv,1.0
2015,,,20_reg_Kirovohrad,1.0
2015,,,21_reg_Luhansk,1.0
2015,,,22_reg_Lviv,4.0
2015,,,23_reg_Mykolayiv,15.0
2015,,,24_reg_Odesa,14.0
2015,,,25_reg_Poltava,113.0
2015,,,26_reg_Rivne,
2015,,,27_reg_Sumy,
2015,,,28_reg_Ternopil,2.0
2015,,,29_reg_Kharkiv,1.0
2015,,,30_reg_Kherson,2.0
2015,,,31_reg_Khmelnytskiy,2.0
2015,,,32_reg_Cherkasy,
2015,,,33_reg_Chernivtsi,
2015,,,34_reg_Chernihiv,1.0
2015,,,35_reg_Kyiv_city,

2016,,,Ukraine,186.0
2016,,,11_reg_Vinnytsya,
2016,,,12_reg_Volyn,
2016,,,13_reg_Dnipropetrovsk,
2016,,,14_reg_Donetsk,7.0
2016,,,15_reg_Zhytomyr,1.0
2016,,,16_reg_Zakarpattya,4.0
2016,,,17_reg_Zaporizhzhya,7.0
2016,,,18_reg_Ivano-Frankivsk,2.0
2016,,,19_reg_Kyiv,11.0
2016,,,20_reg_Kirovohrad,
2016,,,21_reg_Luhansk,1.0
2016,,,22_reg_Lviv,4.0
2016,,,23_reg_Mykolayiv,15.0
2016,,,24_reg_Odesa,14.0
2016,,,25_reg_Poltava,113.0
2016,,,26_reg_Rivne,
2016,,,27_reg_Sumy,
2016,,,28_reg_Ternopil,2.0
2016,,,29_reg_Kharkiv,1.0
2016,,,30_reg_Kherson,2.0
2016,,,31_reg_Khmelnytskiy,1.0
2016,,,32_reg_Cherkasy,
2016,,,33_reg_Chernivtsi,
2016,,,34_reg_Chernihiv,1.0
2016,,,35_reg_Kyiv_city,

2017,,,Ukraine,191.0
2017,,,11_reg_Vinnytsya,
2017,,,12_reg_Volyn,
2017,,,13_reg_Dnipropetrovsk,1.0
2017,,,14_reg_Donetsk,5.0
2017,,,15_reg_Zhytomyr,1.0
2017,,,16_reg_Zakarpattya,9.0
2017,,,17_reg_Zaporizhzhya,7.0
2017,,,18_reg_Ivano-Frankivsk,2.0
2017,,,19_reg_Kyiv,13.0
2017,,,20_reg_Kirovohrad,1.0
2017,,,21_reg_Luhansk,1.0
2017,,,22_reg_Lviv,4.0
2017,,,23_reg_Mykolayiv,15.0
2017,,,24_reg_Odesa,9.0
2017,,,25_reg_Poltava,114.0
2017,,,26_reg_Rivne,
2017,,,27_reg_Sumy,
2017,,,28_reg_Ternopil,2.0
2017,,,29_reg_Kharkiv,1.0
2017,,,30_reg_Kherson,2.0
2017,,,31_reg_Khmelnytskiy,3.0
2017,,,32_reg_Cherkasy,
2017,,,33_reg_Chernivtsi,
2017,,,34_reg_Chernihiv,1.0
2017,,,35_reg_Kyiv_city,

2018,,,Ukraine,189.0
2018,,,11_reg_Vinnytsya,
2018,,,12_reg_Volyn,
2018,,,13_reg_Dnipropetrovsk,1.0
2018,,,14_reg_Donetsk,6.0
2018,,,15_reg_Zhytomyr,1.0
2018,,,16_reg_Zakarpattya,4.0
2018,,,17_reg_Zaporizhzhya,7.0
2018,,,18_reg_Ivano-Frankivsk,2.0
2018,,,19_reg_Kyiv,19.0
2018,,,20_reg_Kirovohrad,2.0
2018,,,21_reg_Luhansk,1.0
2018,,,22_reg_Lviv,4.0
2018,,,23_reg_Mykolayiv,15.0
2018,,,24_reg_Odesa,8.0
2018,,,25_reg_Poltava,110.0
2018,,,26_reg_Rivne,
2018,,,27_reg_Sumy,
2018,,,28_reg_Ternopil,2.0
2018,,,29_reg_Kharkiv,1.0
2018,,,30_reg_Kherson,2.0
2018,,,31_reg_Khmelnytskiy,3.0
2018,,,32_reg_Cherkasy,
2018,,,33_reg_Chernivtsi,
2018,,,34_reg_Chernihiv,1.0
2018,,,35_reg_Kyiv_city,

2019,,,Ukraine,187.0
2019,,,11_reg_Vinnytsya,
2019,,,12_reg_Volyn,
2019,,,13_reg_Dnipropetrovsk,1.0
2019,,,14_reg_Donetsk,6.0
2019,,,15_reg_Zhytomyr,1.0
