Year,Infectious diseases,Age,Region,Value
2015,ill_1_tub,age_vac_1_under_1_year,,40.2
2016,ill_1_tub,age_vac_1_under_1_year,,72.3
2017,ill_1_tub,age_vac_1_under_1_year,,83.6
2018,ill_1_tub,age_vac_1_under_1_year,,90.1
2019,ill_1_tub,age_vac_1_under_1_year,,88.6
2020,ill_1_tub,age_vac_1_under_1_year,,88.8
2021,ill_1_tub,age_vac_1_under_1_year,,81.8
2022,ill_1_tub,age_vac_1_under_1_year,,71
2023,ill_1_tub,age_vac_1_under_1_year,,83.5
2024,ill_1_tub,age_vac_1_under_1_year,,92.8
2015,ill_2_hep,age_vac_1_under_1_year,,25.7
2016,ill_2_hep,age_vac_1_under_1_year,,29.2
2017,ill_2_hep,age_vac_1_under_1_year,,57
2018,ill_2_hep,age_vac_1_under_1_year,,67
2019,ill_2_hep,age_vac_1_under_1_year,,77
2020,ill_2_hep,age_vac_1_under_1_year,,79.8
2021,ill_2_hep,age_vac_1_under_1_year,,78.8
2022,ill_2_hep,age_vac_1_under_1_year,,62.4
2023,ill_2_hep,age_vac_1_under_1_year,,79.2
2024,ill_2_hep,age_vac_1_under_1_year,,88
2015,ill_3_m_m_r,age_vac_2_1_year,,63.7
2016,ill_3_m_m_r,age_vac_2_1_year,,46.1
2017,ill_3_m_m_r,age_vac_2_1_year,,93.3
2018,ill_3_m_m_r,age_vac_2_1_year,,91
2019,ill_3_m_m_r,age_vac_2_1_year,,93.2
2020,ill_3_m_m_r,age_vac_2_1_year,,83.3
2021,ill_3_m_m_r,age_vac_2_1_year,,88.5
2022,ill_3_m_m_r,age_vac_2_1_year,,74.1
2023,ill_3_m_m_r,age_vac_2_1_year,,92.4
2024,ill_3_m_m_r,age_vac_2_1_year,,91.4
2015,ill_3_m_m_r,age_vac_4_6_years,,62.2
2016,ill_3_m_m_r,age_vac_4_6_years,,31
2017,ill_3_m_m_r,age_vac_4_6_years,,90.7
2018,ill_3_m_m_r,age_vac_4_6_years,,89.5
2019,ill_3_m_m_r,age_vac_4_6_years,,91.7
2020,ill_3_m_m_r,age_vac_4_6_years,,83.4
2021,ill_3_m_m_r,age_vac_4_6_years,,86.8
2022,ill_3_m_m_r,age_vac_4_6_years,,69.1
2023,ill_3_m_m_r,age_vac_4_6_years,,87.3
2024,ill_3_m_m_r,age_vac_4_6_years,,83.4
2015,ill_4_diph,age_vac_1_under_1_year,,26.8
2016,ill_4_diph,age_vac_1_under_1_year,,21.5
2017,ill_4_diph,age_vac_1_under_1_year,,53.2
2018,ill_4_diph,age_vac_1_under_1_year,,69.3
2019,ill_4_diph,age_vac_1_under_1_year,,80.5
2020,ill_4_diph,age_vac_1_under_1_year,,80.1
2021,ill_4_diph,age_vac_1_under_1_year,,80
2022,ill_4_diph,age_vac_1_under_1_year,,72.9
2023,ill_4_diph,age_vac_1_under_1_year,,83.4
2024,ill_4_diph,age_vac_1_under_1_year,,88.3
2015,ill_4_diph,age_vac_3_18_months,,33.7
2016,ill_4_diph,age_vac_3_18_months,,23.7
2017,ill_4_diph,age_vac_3_18_months,,51.2
2018,ill_4_diph,age_vac_3_18_months,,66.1
2019,ill_4_diph,age_vac_3_18_months,,80.5
2020,ill_4_diph,age_vac_3_18_months,,78.1
2021,ill_4_diph,age_vac_3_18_months,,77.8
2022,ill_4_diph,age_vac_3_18_months,,71.9
2023,ill_4_diph,age_vac_3_18_months,,82.7
2024,ill_4_diph,age_vac_3_18_months,,86.8
2015,ill_4_diph,age_vac_4_6_years,,4.2
2016,ill_4_diph,age_vac_4_6_years,,58.8
2017,ill_4_diph,age_vac_4_6_years,,83.5
2018,ill_4_diph,age_vac_4_6_years,,83.4
2019,ill_4_diph,age_vac_4_6_years,,72.9
2020,ill_4_diph,age_vac_4_6_years,,59.7
2021,ill_4_diph,age_vac_4_6_years,,69.9
2022,ill_4_diph,age_vac_4_6_years,,68.2
2023,ill_4_diph,age_vac_4_6_years,,70.9
2024,ill_4_diph,age_vac_4_6_years,,77
2015,ill_4_diph,age_vac_4_6_years,,1.8
2016,ill_4_diph,age_vac_4_6_years,,55.9
2017,ill_4_diph,age_vac_4_6_years,,76.7
2018,ill_4_diph,age_vac_4_6_years,,77.9
2019,ill_4_diph,age_vac_4_6_years,,91.5
2020,ill_4_diph,age_vac_4_6_years,,73.6
2021,ill_4_diph,age_vac_4_6_years,,79.6
2022,ill_4_diph,age_vac_4_6_years,,68.8
2023,ill_4_diph,age_vac_4_6_years,,78.3
2024,ill_4_diph,age_vac_4_6_years,,82.1
2015,ill_4_diph,age_vac_7_adult,,0.1
2016,ill_4_diph,age_vac_7_adult,,20.6
2017,ill_4_diph,age_vac_7_adult,,44.8
2018,ill_4_diph,age_vac_7_adult,,55.6
2019,ill_4_diph,age_vac_7_adult,,83.4
2020,ill_4_diph,age_vac_7_adult,,47
2021,ill_4_diph,age_vac_7_adult,,45.4
2022,ill_4_diph,age_vac_7_adult,,40.2
2023,ill_4_diph,age_vac_7_adult,,52
2024,ill_4_diph,age_vac_7_adult,,80.7
2015,ill_5_pert,age_vac_1_under_1_year,,26.8
2016,ill_5_pert,age_vac_1_under_1_year,,21.5
2017,ill_5_pert,age_vac_1_under_1_year,,53.2
2018,ill_5_pert,age_vac_1_under_1_year,,69.3
2019,ill_5_pert,age_vac_1_under_1_year,,80.5
2020,ill_5_pert,age_vac_1_under_1_year,,80.1
2021,ill_5_pert,age_vac_1_under_1_year,,80
2022,ill_5_pert,age_vac_1_under_1_year,,72.9
2023,ill_5_pert,age_vac_1_under_1_year,,83.4
2024,ill_5_pert,age_vac_1_under_1_year,,88.3
2015,ill_5_pert,age_vac_3_18_months,,33.7
2016,ill_5_pert,age_vac_3_18_months,,23.7
2017,ill_5_pert,age_vac_3_18_months,,51.2
2018,ill_5_pert,age_vac_3_18_months,,66.1
2019,ill_5_pert,age_vac_3_18_months,,80.5
2020,ill_5_pert,age_vac_3_18_months,,78.1
2021,ill_5_pert,age_vac_3_18_months,,77.8
2022,ill_5_pert,age_vac_3_18_months,,71.9
2023,ill_5_pert,age_vac_3_18_months,,82.7
2024,ill_5_pert,age_vac_3_18_months,,86.8
2015,ill_6_polio,age_vac_1_under_1_year,,63.7
2016,ill_6_polio,age_vac_1_under_1_year,,60.9
2017,ill_6_polio,age_vac_1_under_1_year,,51.9
2018,ill_6_polio,age_vac_1_under_1_year,,71.1
2019,ill_6_polio,age_vac_1_under_1_year,,78.4
2020,ill_6_polio,age_vac_1_under_1_year,,83
2021,ill_6_polio,age_vac_1_under_1_year,,80.1
2022,ill_6_polio,age_vac_1_under_1_year,,68.9
2023,ill_6_polio,age_vac_1_under_1_year,,84.9
2024,ill_6_polio,age_vac_1_under_1_year,,87.8
2015,ill_6_polio,age_vac_3_18_months,,86.1
2016,ill_6_polio,age_vac_3_18_months,,66.9
2017,ill_6_polio,age_vac_3_18_months,,71.4
2018,ill_6_polio,age_vac_3_18_months,,67.8
2019,ill_6_polio,age_vac_3_18_months,,78.7
2020,ill_6_polio,age_vac_3_18_months,,83
2021,ill_6_polio,age_vac_3_18_months,,80.5
2022,ill_6_polio,age_vac_3_18_months,,66.7
2023,ill_6_polio,age_vac_3_18_months,,85.5
2024,ill_6_polio,age_vac_3_18_months,,87.3
2015,ill_6_polio,age_vac_4_6_years,,49.3
2016,ill_6_polio,age_vac_4_6_years,,86.1
2017,ill_6_polio,age_vac_4_6_years,,88.2
2018,ill_6_polio,age_vac_4_6_years,,81.3
2019,ill_6_polio,age_vac_4_6_years,,80.3
2020,ill_6_polio,age_vac_4_6_years,,81.7
2021,ill_6_polio,age_vac_4_6_years,,78.4
2022,ill_6_polio,age_vac_4_6_years,,63.4
2023,ill_6_polio,age_vac_4_6_years,,82.3
2024,ill_6_polio,age_vac_4_6_years,,83.6
2015,ill_6_polio,age_vac_5_14_years,,51
2016,ill_6_polio,age_vac_5_14_years,,80.5
2017,ill_6_polio,age_vac_5_14_years,,88.1
2018,ill_6_polio,age_vac_5_14_years,,80.2
2019,ill_6_polio,age_vac_5_14_years,,80.9
2020,ill_6_polio,age_vac_5_14_years,,81.8
2021,ill_6_polio,age_vac_5_14_years,,76.1
2022,ill_6_polio,age_vac_5_14_years,,58.9
2023,ill_6_polio,age_vac_5_14_years,,78.9
2024,ill_6_polio,age_vac_5_14_years,,80.8
2015,ill_6_polio,age_vac_1_under_1_year,,43.3
2016,ill_6_polio,age_vac_1_under_1_year,,36.7
2017,ill_6_polio,age_vac_1_under_1_year,,34.8
2018,ill_6_polio,age_vac_1_under_1_year,,52.5
2019,ill_6_polio,age_vac_1_under_1_year,,76.5
2020,ill_6_polio,age_vac_1_under_1_year,,85.1
2021,ill_6_polio,age_vac_1_under_1_year,,90.9
2022,ill_6_polio,age_vac_1_under_1_year,,74
2023,ill_6_polio,age_vac_1_under_1_year,,86.4
2024,ill_6_polio,age_vac_1_under_1_year,,94.6
2015,ill_6_polio,age_vac_2_1_year,,39.2
2016,ill_6_polio,age_vac_2_1_year,,52.1
2017,ill_6_polio,age_vac_2_1_year,,44.5
2018,ill_6_polio,age_vac_2_1_year,,57.7
2019,ill_6_polio,age_vac_2_1_year,,80
2020,ill_6_polio,age_vac_2_1_year,,83.6
2021,ill_6_polio,age_vac_2_1_year,,87
2022,ill_6_polio,age_vac_2_1_year,,69.8
2023,ill_6_polio,age_vac_2_1_year,,78.2
2024,ill_6_polio,age_vac_2_1_year,,92.7
2015,ill_6_polio,age_vac_1_under_1_year,,31
2016,ill_6_polio,age_vac_1_under_1_year,,418
2017,ill_6_polio,age_vac_1_under_1_year,,6
2018,ill_6_polio,age_vac_1_under_1_year,,14
2019,ill_6_polio,age_vac_1_under_1_year,,..
2020,ill_6_polio,age_vac_1_under_1_year,,..18
2021,ill_6_polio,age_vac_1_under_1_year,,.6
2022,ill_6_polio,age_vac_1_under_1_year,,.16
2023,ill_6_polio,age_vac_1_under_1_year,,.
2024,ill_6_polio,age_vac_1_under_1_year,,1
2015,ill_6_polio,age_vac_1_under_1_year,,63.665543099530375
2016,ill_6_polio,age_vac_1_under_1_year,,86.09697989694384
2017,ill_6_polio,age_vac_1_under_1_year,,49.29069597604615
2018,ill_6_polio,age_vac_1_under_1_year,,50.96848733427689
2019,ill_6_polio,age_vac_1_under_1_year,,26.781904409217425
2020,ill_6_polio,age_vac_1_under_1_year,,33.70096017421718
2021,ill_6_polio,age_vac_1_under_1_year,,4.237954881699219
2022,ill_6_polio,age_vac_1_under_1_year,,1.844980458856524
2023,ill_6_polio,age_vac_1_under_1_year,,0.1342281879194631
2024,ill_6_polio,age_vac_1_under_1_year,,43.28719598135232
2015,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,73.6
2016,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,92.8
2017,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,39.6
2018,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,39.4
2019,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,14.6
2020,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,27.4
2021,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,0
2022,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,0
2023,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,0
2024,ill_6_polio,age_vac_1_under_1_year,11_reg_Vinnytsya,32.4
2015,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,53.6
2016,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,91.6
2017,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,37.8
2018,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,38
2019,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,16.6
2020,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,28.4
2021,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,0
2022,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,0
2023,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,0
2024,ill_6_polio,age_vac_1_under_1_year,12_reg_Volyn,26.3
2015,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,81.8
2016,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,99.7
2017,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,48
2018,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,38.7
2019,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,18.9
2020,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,31
2021,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,11.4
2022,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,3.2
2023,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,0.2
2024,ill_6_polio,age_vac_1_under_1_year,13_reg_Dnipropetrovsk,45.8
2015,ill_6_polio,age_vac_1_under_1_year,,82
2016,ill_6_polio,age_vac_1_under_1_year,,100
2017,ill_6_polio,age_vac_1_under_1_year,,74.5
2018,ill_6_polio,age_vac_1_under_1_year,,67
2019,ill_6_polio,age_vac_1_under_1_year,,26.1
2020,ill_6_polio,age_vac_1_under_1_year,,26.4
2021,ill_6_polio,age_vac_1_under_1_year,,10.9
2022,ill_6_polio,age_vac_1_under_1_year,,1.5
2023,ill_6_polio,age_vac_1_under_1_year,,0.1
2024,ill_6_polio,age_vac_1_under_1_year,,53.7
2015,ill_6_polio,age_vac_1_under_1_year,,79.4
2016,ill_6_polio,age_vac_1_under_1_year,,119.3
2017,ill_6_polio,age_vac_1_under_1_year,,67.6
2018,ill_6_polio,age_vac_1_under_1_year,,65.4
2019,ill_6_polio,age_vac_1_under_1_year,,9
2020,ill_6_polio,age_vac_1_under_1_year,,7.9
2021,ill_6_polio,age_vac_1_under_1_year,,0
2022,ill_6_polio,age_vac_1_under_1_year,,0.1
2023,ill_6_polio,age_vac_1_under_1_year,,0
2024,ill_6_polio,age_vac_1_under_1_year,,47.5
2015,ill_6_polio,age_vac_1_under_1_year,,57.8
2016,ill_6_polio,age_vac_1_under_1_year,,72.6
2017,ill_6_polio,age_vac_1_under_1_year,,62.7
2018,ill_6_polio,age_vac_1_under_1_year,,60.2
2019,ill_6_polio,age_vac_1_under_1_year,,22
2020,ill_6_polio,age_vac_1_under_1_year,,24.1
2022,ill_6_polio,age_vac_1_under_1_year,,0
2024,ill_6_polio,age_vac_1_under_1_year,,45.7
2015,ill_6_polio,age_vac_1_under_1_year,,47.8
2016,ill_6_polio,age_vac_1_under_1_year,,74.9
2017,ill_6_polio,age_vac_1_under_1_year,,43.9
2018,ill_6_polio,age_vac_1_under_1_year,,26.8
2019,ill_6_polio,age_vac_1_under_1_year,,19.6
2020,ill_6_polio,age_vac_1_under_1_year,,20.5
2021,ill_6_polio,age_vac_1_under_1_year,,10.8
2022,ill_6_polio,age_vac_1_under_1_year,,4.9
2023,ill_6_polio,age_vac_1_under_1_year,,0.9
2024,ill_6_polio,age_vac_1_under_1_year,,43.3
2015,ill_6_polio,age_vac_1_under_1_year,,43.1
2016,ill_6_polio,age_vac_1_under_1_year,,56.2
2017,ill_6_polio,age_vac_1_under_1_year,,47.4
2018,ill_6_polio,age_vac_1_under_1_year,,47.7
2019,ill_6_polio,age_vac_1_under_1_year,,19.7
2024,ill_6_polio,age_vac_1_under_1_year,,46.2
2015,ill_6_polio,age_vac_1_under_1_year,,30.7
2016,ill_6_polio,age_vac_1_under_1_year,,51
2017,ill_6_polio,age_vac_1_under_1_year,,37.2
2018,ill_6_polio,age_vac_1_under_1_year,,46.6
2019,ill_6_polio,age_vac_1_under_1_year,,21.5
2020,ill_6_polio,age_vac_1_under_1_year,,26.9
2021,ill_6_polio,age_vac_1_under_1_year,,7.8
2022,ill_6_polio,age_vac_1_under_1_year,,3.6
2023,ill_6_polio,age_vac_1_under_1_year,,0.3
2024,ill_6_polio,age_vac_1_under_1_year,,35.7
2015,ill_3_m_m_r,age_vac_1_under_1_year,,66.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,94.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,75.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,65.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,39.4
2020,ill_3_m_m_r,age_vac_1_under_1_year,,28.3
2021,ill_3_m_m_r,age_vac_1_under_1_year,,0
2022,ill_3_m_m_r,age_vac_1_under_1_year,,0
2023,ill_3_m_m_r,age_vac_1_under_1_year,,0
2024,ill_3_m_m_r,age_vac_1_under_1_year,,42.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,50.18368846436444
2016,ill_3_m_m_r,age_vac_1_under_1_year,,70.62325355363868
2017,ill_3_m_m_r,age_vac_1_under_1_year,,52.446515568735435
2018,ill_3_m_m_r,age_vac_1_under_1_year,,68.94164193867458
2019,ill_3_m_m_r,age_vac_1_under_1_year,,51.451138868479056
2020,ill_3_m_m_r,age_vac_1_under_1_year,,56.97307530500631
2021,ill_3_m_m_r,age_vac_1_under_1_year,,11.80936313791649
2022,ill_3_m_m_r,age_vac_1_under_1_year,,1.5367877056983543
2023,ill_3_m_m_r,age_vac_1_under_1_year,,0.19001554672655036
2024,ill_3_m_m_r,age_vac_1_under_1_year,,51.451138868479056
2015,ill_3_m_m_r,age_vac_1_under_1_year,,59
2016,ill_3_m_m_r,age_vac_1_under_1_year,,80.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,42.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,56.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,24
2020,ill_3_m_m_r,age_vac_1_under_1_year,,28.9
2024,ill_3_m_m_r,age_vac_1_under_1_year,,53.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,48.5
2016,ill_3_m_m_r,age_vac_1_under_1_year,,65.5
2017,ill_3_m_m_r,age_vac_1_under_1_year,,59.6
2018,ill_3_m_m_r,age_vac_1_under_1_year,,86.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,21.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,11.7
2024,ill_3_m_m_r,age_vac_1_under_1_year,,39.3
2015,ill_3_m_m_r,age_vac_1_under_1_year,,65.9
2016,ill_3_m_m_r,age_vac_1_under_1_year,,88.1
2017,ill_3_m_m_r,age_vac_1_under_1_year,,54.3
2018,ill_3_m_m_r,age_vac_1_under_1_year,,52.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,46.7
2020,ill_3_m_m_r,age_vac_1_under_1_year,,58
2021,ill_3_m_m_r,age_vac_1_under_1_year,,7.2
2022,ill_3_m_m_r,age_vac_1_under_1_year,,9.1
2023,ill_3_m_m_r,age_vac_1_under_1_year,,0.1
2024,ill_3_m_m_r,age_vac_1_under_1_year,,49.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,23.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,87.7
2017,ill_3_m_m_r,age_vac_1_under_1_year,,15.9
2018,ill_3_m_m_r,age_vac_1_under_1_year,,37.8
2019,ill_3_m_m_r,age_vac_1_under_1_year,,14.9
2020,ill_3_m_m_r,age_vac_1_under_1_year,,55.6
2021,ill_3_m_m_r,age_vac_1_under_1_year,,0.5
2024,ill_3_m_m_r,age_vac_1_under_1_year,,19.4
2015,ill_3_m_m_r,age_vac_1_under_1_year,,63.6
2016,ill_3_m_m_r,age_vac_1_under_1_year,,78.2
2017,ill_3_m_m_r,age_vac_1_under_1_year,,68.2
2018,ill_3_m_m_r,age_vac_1_under_1_year,,78.6
2019,ill_3_m_m_r,age_vac_1_under_1_year,,11.8
2020,ill_3_m_m_r,age_vac_1_under_1_year,,27.2
2024,ill_3_m_m_r,age_vac_1_under_1_year,,30.4
2016,ill_3_m_m_r,age_vac_1_under_1_year,,84.3
2017,ill_3_m_m_r,age_vac_1_under_1_year,,29.8
2018,ill_3_m_m_r,age_vac_1_under_1_year,,24.1
2019,ill_3_m_m_r,age_vac_1_under_1_year,,18.5
