Year,Sex,Value
2015,,9.9
2016,,9.7
2017,,9.4
2018,,9.4
2019,,8.7
2020,,9.0
2021,,9.4
2022,,
2023,,
2024,,
2015,females,9.5
2016,females,9.2
2017,females,8.9
2018,females,8.8
2019,females,8.1
2020,females,8.5
2021,females,8.7
2022,females,
2023,females,
2024,females,
2015,males,10.3
2016,males,10.2
2017,males,10.0
2018,males,10.0
2019,males,9.2
2020,males,9.6
2021,males,10.1
2022,males,
2023,males,
2024,males,
2015,females,56.5
2016,females,56.3
2017,females,57.6
2018,females,59.4
2019,females,55.2
2020,females,60.2
2021,females,60.9
2015,males,55.3
2016,males,56.7
2017,males,57.6
2018,males,59.4
2019,males,55.8
2020,males,59.8
2021,males,63.1
2015,females,0.9
2016,females,0.9
2017,females,0.8
2018,females,0.7
2019,females,0.7
2020,females,0.4
2021,females,0.4
2015,males,0.7
2016,males,0.8
2017,males,0.8
2018,males,0.9
2019,males,0.7
2020,males,0.5
2021,males,0.5
