Year,Region,Value
2015,,
2016,,
2017,,
2018,,
2019,,
2020,,
2021,,
2022,,
2023,,
2024,,
2022,,58.88
2023,,62.15
2024,,65.13
2015,11_reg_Vinnytsya,
2016,11_reg_Vinnytsya,
2017,11_reg_Vinnytsya,
2018,11_reg_Vinnytsya,
2019,11_reg_Vinnytsya,
2020,11_reg_Vinnytsya,
2021,11_reg_Vinnytsya,
2022,11_reg_Vinnytsya,51.54
2023,11_reg_Vinnytsya,58.78
2024,11_reg_Vinnytsya,60.52
2015,12_reg_Volyn,
2016,12_reg_Volyn,
2017,12_reg_Volyn,
2018,12_reg_Volyn,
2019,12_reg_Volyn,
2020,12_reg_Volyn,
2021,12_reg_Volyn,
2022,12_reg_Volyn,50.52
2023,12_reg_Volyn,54.05
2024,12_reg_Volyn,56.5
2015,13_reg_Dnipropetrovsk,
2016,13_reg_Dnipropetrovsk,
2017,13_reg_Dnipropetrovsk,
2018,13_reg_Dnipropetrovsk,
2019,13_reg_Dnipropetrovsk,
2020,13_reg_Dnipropetrovsk,
2021,13_reg_Dnipropetrovsk,
2022,13_reg_Dnipropetrovsk,54.78
2023,13_reg_Dnipropetrovsk,54.86
2024,13_reg_Dnipropetrovsk,54.49
2015,14_reg_Donetsk,
2016,14_reg_Donetsk,
2017,14_reg_Donetsk,
2018,14_reg_Donetsk,
2019,14_reg_Donetsk,
2020,14_reg_Donetsk,
2021,14_reg_Donetsk,
2022,14_reg_Donetsk,54.12
2023,14_reg_Donetsk,48.81
2024,14_reg_Donetsk,50.43
2015,19_reg_Kyiv,
2016,19_reg_Kyiv,
2017,19_reg_Kyiv,
2018,19_reg_Kyiv,
2019,19_reg_Kyiv,
2020,19_reg_Kyiv,
2021,19_reg_Kyiv,
2022,19_reg_Kyiv,66.96
2023,19_reg_Kyiv,71.71
2024,19_reg_Kyiv,74.32
2015,35_reg_Kyiv_city,
2016,35_reg_Kyiv_city,
2017,35_reg_Kyiv_city,
2018,35_reg_Kyiv_city,
2019,35_reg_Kyiv_city,
2020,35_reg_Kyiv_city,
2021,35_reg_Kyiv_city,
2022,35_reg_Kyiv_city,80.91
2023,35_reg_Kyiv_city,78.73
2024,35_reg_Kyiv_city,81.1
2022,,30.87
2023,,36.09
2024,,39.87
2022,11_reg_Vinnytsya,30.34
