Year,Type of economic activity,Organisation and legal forms,Region,Value
2022,A01,,,20.1
2023,A01,,,20.0
2024,A01,,,20.0
2025,A01,,,20.4
2022,A02,,,11.4
2023,A02,,,11.4
2024,A02,,,10.0
2025,A02,,,9.5
2022,A03,,,21.5
2023,A03,,,21.6
2024,A03,,,21.7
2025,A03,,,21.6
2022,A04,,,14.3
2023,A04,,,12.5
2024,A04,,,12.5
2025,A04,,,22.2
2022,A05,,,9.1
2023,A05,,,8.7
2024,A05,,,8.0
2025,A05,,,7.1
2022,A06,,,15.4
2023,A06,,,17.9
2024,A06,,,16.1
2025,A06,,,17.8
2022,A07,,,25.1
2023,A07,,,24.9
2024,A07,,,25.0
2025,A07,,,26.9
2022,A08,,,20.7
2023,A08,,,20.8
2024,A08,,,21.3
2025,A08,,,24.9
2022,A09,,,22.4
2023,A09,,,22.3
2024,A09,,,22.6
2025,A09,,,24.7
2022,A10,,,21.0
2023,A10,,,22.0
2024,A10,,,22.7
2025,A10,,,23.7
2022,A11,,,33.3
2023,A11,,,33.3
2024,A11,,,33.3
2025,A11,,,33.3
2022,A12,,,24.8
2023,A12,,,26.2
2024,A12,,,26.0
2025,A12,,,24.3
2022,A13,,,23.0
2023,A13,,,25.3
2024,A13,,,21.9
2025,A13,,,23.3
2022,A14,,,35.3
2023,A14,,,35.2
2024,A14,,,35.1
2025,A14,,,35.1
2022,A15,,,21.5
2023,A15,,,21.4
2024,A15,,,22.2
2025,A15,,,23.1
2022,A16,,,19.3
2023,A16,,,19.6
2024,A16,,,17.6
2025,A16,,,20.4
2022,A17,,,35.9
2023,A17,,,38.3
2024,A17,,,38.6
2025,A17,,,39.5
2022,A18,,,50.0
2022,A19,,,19.6
2023,A19,,,19.9
2024,A19,,,20.5
2025,A19,,,21.1
2022,A20,,,23.7
2023,A20,,,23.6
2024,A20,,,23.3
2025,A20,,,23.2
2022,A21,,,22.2
2023,A21,,,22.4
2024,A21,,,22.2
2025,A21,,,23.7
2022,A22,,,19.8
2023,A22,,,19.7
2024,A22,,,20.6
2025,A22,,,20.9
2022,A23,,,20.2
2023,A23,,,20.4
2024,A23,,,20.4
2025,A23,,,21.1
2022,A24,,,21.0
2023,A24,,,21.1
2024,A24,,,20.7
2025,A24,,,20.9
2022,A25,,,29.3
2023,A25,,,30.6
2024,A25,,,30.2
2025,A25,,,31.0
2022,A26,,,19.8
2023,A26,,,19.9
2024,A26,,,20.1
2025,A26,,,21.1
2022,A27,,,21.7
2023,A27,,,22.3
2024,A27,,,20.5
2025,A27,,,21.7
2022,A28,,,7.2
2023,A28,,,7.1
2024,A28,,,7.3
2025,A28,,,7.6
2022,A29,,,10.3
2023,A29,,,10.1
2024,A29,,,11.5
2025,A29,,,13.9
2022,A30,,,15.3
2023,A30,,,15.1
2024,A30,,,15.5
2025,A30,,,16.0
2022,A31,,,23.6
2023,A31,,,23.0
2024,A31,,,24.0
2025,A31,,,24.7
2022,A32,,,7.4
2023,A32,,,8.4
2024,A32,,,10.0
2025,A32,,,12.4
2022,A33,,,18.1
2023,A33,,,17.9
2024,A33,,,17.6
2025,A33,,,21.2
2022,A34,,,18.2
2023,A34,,,18.7
2024,A34,,,19.0
2025,A34,,,19.6
2022,A35,,,29.5
2023,A35,,,27.7
2024,A35,,,30.2
2025,A35,,,30.9
2022,A36,,,17.7
2023,A36,,,17.7
2024,A36,,,18.1
2025,A36,,,18.9
2022,A37,,,9.6
2023,A37,,,9.2
2024,A37,,,9.0
2025,A37,,,9.1
2022,A38,,,6.7
2023,A38,,,6.3
2024,A38,,,5.6
2025,A38,,,5.6
2022,A39,,,14.3
2023,A39,,,14.0
2024,A39,,,15.8
2025,A39,,,15.9
2022,A40,,,11.1
2023,A40,,,10.5
2024,A40,,,10.7
2025,A40,,,12.2
2022,A41,,,23.9
2023,A41,,,26.7
2024,A41,,,23.9
2025,A41,,,23.4
2025,A42,,,20.0
2022,A43,,,17.7
2023,A43,,,18.3
2024,A43,,,11.8
2025,A43,,,11.8
2022,A44,,,15.0
2023,A44,,,14.4
2024,A44,,,14.9
2025,A44,,,15.3
2022,A45,,,12.9
2023,A45,,,13.9
2024,A45,,,15.1
2025,A45,,,15.6
2022,A46,,,13.6
2023,A46,,,12.6
2024,A46,,,11.0
2025,A46,,,11.7
2022,A47,,,14.6
2023,A47,,,14.7
2024,A47,,,13.7
2025,A47,,,13.9
2022,A48,,,15.4
2023,A48,,,13.3
2024,A48,,,12.5
2025,A48,,,17.1
2022,A49,,,12.0
2023,A49,,,12.4
2024,A49,,,15.3
2025,A49,,,15.6
2022,A50,,,18.5
2023,A50,,,18.6
