Year,Age,Sex,Type of residence,Households_1,Value
2015,,,,,9.1
2016,,,,,7.7
2017,,,,,6.9
2018,,,,,4.5
2019,,,,,4.8
2020,,,,,5.7
2021,,,,,3.9
2022,,,,,
2023,,,,,
2024,,,,,
2015,age_18_1,,,,12.6
2016,age_18_1,,,,10.4
2017,age_18_1,,,,9.2
2018,age_18_1,,,,6.3
2019,age_18_1,,,,6.8
2020,age_18_1,,,,6.7
2021,age_18_1,,,,5.0
2022,age_18_1,,,,
2023,age_18_1,,,,
2024,age_18_1,,,,
2015,18-34 years,,,,9.8
2016,18-34 years,,,,7.8
2017,18-34 years,,,,7.1
2018,18-34 years,,,,5.5
2019,18-34 years,,,,4.3
2020,18-34 years,,,,11.2
2021,18-34 years,,,,3.5
2022,18-34 years,,,,
2023,18-34 years,,,,
2024,18-34 years,,,,
2015,35-59 years,,,,7.7
2016,35-59 years,,,,6.8
2017,35-59 years,,,,6.0
2018,35-59 years,,,,3.8
2019,35-59 years,,,,4.4
2020,35-59 years,,,,7.6
2021,35-59 years,,,,3.8
2022,35-59 years,,,,
2023,35-59 years,,,,
2024,35-59 years,,,,
2015,60 years and older,,,,7.2
2016,60 years and older,,,,6.6
2017,60 years and older,,,,5.8
2018,60 years and older,,,,2.7
2019,60 years and older,,,,4.1
2020,60 years and older,,,,5.6
2021,60 years and older,,,,3.8
2022,60 years and older,,,,
2023,60 years and older,,,,
2024,60 years and older,,,,
2015,,females_1,,,9.1
2016,,females_1,,,7.4
2017,,females_1,,,6.8
2018,,females_1,,,4.3
2019,,females_1,,,4.6
2020,,females_1,,,6.2
2021,,females_1,,,3.9
2022,,females_1,,,
2023,,females_1,,,
2024,,females_1,,,
2015,,males_1,,,9.1
2016,,males_1,,,8.0
2017,,males_1,,,7.0
2018,,males_1,,,4.6
2019,,males_1,,,4.9
2020,,males_1,,,5.2
2021,,males_1,,,3.9
2022,,males_1,,,
2023,,males_1,,,
2024,,males_1,,,
2015,,,urban,,7.1
2016,,,urban,,5.8
2017,,,urban,,5.0
2018,,,urban,,3.0
2019,,,urban,,3.9
2020,,,urban,,5.0
2021,,,urban,,3.4
2022,,,urban,,
2023,,,urban,,
2024,,,urban,,
2015,,,rural,,13.0
2016,,,rural,,11.4
2017,,,rural,,10.5
2018,,,rural,,7.3
2019,,,rural,,6.5
2020,,,rural,,7.2
2021,,,rural,,5.0
2022,,,rural,,
2023,,,rural,,
2024,,,rural,,
2015,,,,hh_ch_1,12.5
2016,,,,hh_ch_1,9.8
2017,,,,hh_ch_1,8.8
2018,,,,hh_ch_1,5.7
2019,,,,hh_ch_1,6.2
2020,,,,hh_ch_1,6.9
2021,,,,hh_ch_1,4.8
2022,,,,hh_ch_1,
2023,,,,hh_ch_1,
2024,,,,hh_ch_1,
2015,,,,hh_ch_01,5.1
2016,,,,hh_ch_01,5.2
2017,,,,hh_ch_01,4.6
2018,,,,hh_ch_01,3.1
2019,,,,hh_ch_01,3.0
2020,,,,hh_ch_01,4.3
2021,,,,hh_ch_01,3.0
2022,,,,hh_ch_01,
2023,,,,hh_ch_01,
2024,,,,hh_ch_01,
