Year,Region,Value
2017,,18.0
2018,,15.0
2019,,18.0
2020,,11.0
2021,,14.0
2022,,14.0
2023,,32.0
2024,,33.0
2017,Ukraine,18.0
2018,Ukraine,15.0
2019,Ukraine,18.0
2020,Ukraine,11.0
2021,Ukraine,14.0
2022,Ukraine,14.0
2023,Ukraine,32.0
2024,Ukraine,33.0
2017,Vinnytsya,9.0
2018,Vinnytsya,6.0
2019,Vinnytsya,13.0
2020,Vinnytsya,11.0
2021,Vinnytsya,8.0
2022,Vinnytsya,23.0
2023,Vinnytsya,32.0
2024,Vinnytsya,41.0
2017,Volyn,12.0
2018,Volyn,9.0
2019,Volyn,10.0
2020,Volyn,4.0
2021,Volyn,3.0
2022,Volyn,22.0
2023,Volyn,32.0
2024,Volyn,25.0
2017,Dnipropetrovsk,7.0
2018,Dnipropetrovsk,8.0
2019,Dnipropetrovsk,16.0
2020,Dnipropetrovsk,0.0
2021,Dnipropetrovsk,27.0
2022,Dnipropetrovsk,13.0
2023,Dnipropetrovsk,9.0
2024,Dnipropetrovsk,34.0
2017,Donetsk,29.0
2018,Donetsk,40.0
2019,Donetsk,76.0
2020,Donetsk,66.0
2021,Donetsk,51.0
2022,Donetsk,101.0
2023,Donetsk,23.0
2024,Donetsk,100.0
2017,Zhytomyr,18.0
2018,Zhytomyr,7.0
2019,Zhytomyr,7.0
2020,Zhytomyr,4.0
2021,Zhytomyr,10.0
2022,Zhytomyr,4.0
2023,Zhytomyr,5.0
2024,Zhytomyr,17.0
2017,Zakarpattya,21.0
2018,Zakarpattya,16.0
2019,Zakarpattya,11.0
2020,Zakarpattya,7.0
2021,Zakarpattya,2.0
2022,Zakarpattya,4.0
2023,Zakarpattya,1.0
2024,Zakarpattya,7.0
2017,17_reg_Zaporizhzhia,34.0
2018,17_reg_Zaporizhzhia,37.0
2019,17_reg_Zaporizhzhia,47.0
2020,17_reg_Zaporizhzhia,0.0
2021,17_reg_Zaporizhzhia,22.0
2022,17_reg_Zaporizhzhia,
2023,17_reg_Zaporizhzhia,
2024,17_reg_Zaporizhzhia,59.0
2017,Ivano-Frankivsk,0.0
2018,Ivano-Frankivsk,0.0
2019,Ivano-Frankivsk,0.0
2020,Ivano-Frankivsk,1.0
2021,Ivano-Frankivsk,0.0
2022,Ivano-Frankivsk,6.0
2023,Ivano-Frankivsk,16.0
2024,Ivano-Frankivsk,19.0
2017,19_reg_Kyivska,25.0
2018,19_reg_Kyivska,21.0
2019,19_reg_Kyivska,7.0
2020,19_reg_Kyivska,2.0
2021,19_reg_Kyivska,7.0
2022,19_reg_Kyivska,7.0
2023,19_reg_Kyivska,18.0
2024,19_reg_Kyivska,11.0
2017,Kirovohrad,7.0
2018,Kirovohrad,11.0
2019,Kirovohrad,3.0
2020,Kirovohrad,5.0
2021,Kirovohrad,1.0
2022,Kirovohrad,4.0
2023,Kirovohrad,9.0
2024,Kirovohrad,25.0
2017,Luhansk,6.0
2018,Luhansk,3.0
2019,Luhansk,9.0
2020,Luhansk,10.0
2021,Luhansk,7.0
2022,Luhansk,
2023,Luhansk,
2024,Luhansk,
2017,Lviv,22.0
2018,Lviv,21.0
2019,Lviv,23.0
2020,Lviv,12.0
2021,Lviv,13.0
2022,Lviv,25.0
2023,Lviv,42.0
2024,Lviv,58.0
2017,23_reg_Mykolaiv,48.0
2018,23_reg_Mykolaiv,23.0
2019,23_reg_Mykolaiv,51.0
2020,23_reg_Mykolaiv,8.0
2021,23_reg_Mykolaiv,9.0
2022,23_reg_Mykolaiv,33.0
2023,23_reg_Mykolaiv,8.0
2024,23_reg_Mykolaiv,19.0
2017,Odesa,16.0
2018,Odesa,9.0
2019,Odesa,10.0
2020,Odesa,10.0
