Year,Вік,Стать,Місцевість проживання,Households_1,Value
2015,,,,,9.1
2016,,,,,7.7
2017,,,,,6.9
2018,,,,,4.5
2019,,,,,4.8
2020,,,,,5.7
2021,,,,,3.9
2022,,,,,
2023,,,,,
2024,,,,,
2015,age_18_1,,,,12.6
2016,age_18_1,,,,10.4
2017,age_18_1,,,,9.2
2018,age_18_1,,,,6.3
2019,age_18_1,,,,6.8
2020,age_18_1,,,,6.7
2021,age_18_1,,,,5.0
2022,age_18_1,,,,
2023,age_18_1,,,,
2024,age_18_1,,,,
2015,18 – 34 роки,,,,9.8
2016,18 – 34 роки,,,,7.8
2017,18 – 34 роки,,,,7.1
2018,18 – 34 роки,,,,5.5
2019,18 – 34 роки,,,,4.3
2020,18 – 34 роки,,,,11.2
2021,18 – 34 роки,,,,3.5
2022,18 – 34 роки,,,,
2023,18 – 34 роки,,,,
2024,18 – 34 роки,,,,
2015,35 – 59 років,,,,7.7
2016,35 – 59 років,,,,6.8
2017,35 – 59 років,,,,6.0
2018,35 – 59 років,,,,3.8
2019,35 – 59 років,,,,4.4
2020,35 – 59 років,,,,7.6
2021,35 – 59 років,,,,3.8
2022,35 – 59 років,,,,
2023,35 – 59 років,,,,
2024,35 – 59 років,,,,
2015,60 років і старші,,,,7.2
2016,60 років і старші,,,,6.6
2017,60 років і старші,,,,5.8
2018,60 років і старші,,,,2.7
2019,60 років і старші,,,,4.1
2020,60 років і старші,,,,5.6
2021,60 років і старші,,,,3.8
2022,60 років і старші,,,,
2023,60 років і старші,,,,
2024,60 років і старші,,,,
2015,,females_1,,,9.1
2016,,females_1,,,7.4
2017,,females_1,,,6.8
2018,,females_1,,,4.3
2019,,females_1,,,4.6
2020,,females_1,,,6.2
2021,,females_1,,,3.9
2022,,females_1,,,
2023,,females_1,,,
2024,,females_1,,,
2015,,males_1,,,9.1
2016,,males_1,,,8.0
2017,,males_1,,,7.0
2018,,males_1,,,4.6
2019,,males_1,,,4.9
2020,,males_1,,,5.2
2021,,males_1,,,3.9
2022,,males_1,,,
2023,,males_1,,,
2024,,males_1,,,
2015,,,міська,,7.1
2016,,,міська,,5.8
2017,,,міська,,5.0
2018,,,міська,,3.0
2019,,,міська,,3.9
2020,,,міська,,5.0
2021,,,міська,,3.4
2022,,,міська,,
2023,,,міська,,
2024,,,міська,,
2015,,,сільська,,13.0
2016,,,сільська,,11.4
2017,,,сільська,,10.5
2018,,,сільська,,7.3
2019,,,сільська,,6.5
2020,,,сільська,,7.2
2021,,,сільська,,5.0
2022,,,сільська,,
2023,,,сільська,,
2024,,,сільська,,
2015,,,,hh_ch_1,12.5
2016,,,,hh_ch_1,9.8
2017,,,,hh_ch_1,8.8
2018,,,,hh_ch_1,5.7
2019,,,,hh_ch_1,6.2
2020,,,,hh_ch_1,6.9
2021,,,,hh_ch_1,4.8
2022,,,,hh_ch_1,
2023,,,,hh_ch_1,
2024,,,,hh_ch_1,
2015,,,,hh_ch_01,5.1
2016,,,,hh_ch_01,5.2
2017,,,,hh_ch_01,4.6
2018,,,,hh_ch_01,3.1
2019,,,,hh_ch_01,3.0
2020,,,,hh_ch_01,4.3
2021,,,,hh_ch_01,3.0
2022,,,,hh_ch_01,
2023,,,,hh_ch_01,
2024,,,,hh_ch_01,
