Year,Вік,Стать,Households_1,Місцевість проживання,Value
2015,,,,,58.3
2016,,,,,58.6
2017,,,,,47.3
2018,,,,,43.2
2019,,,,,41.3
2020,,,,,47.2
2021,,,,,39.1
2022,,,,,
2023,,,,,
2024,,,,,
2015,age_18_1,,,,66.6
2016,age_18_1,,,,65.5
2017,age_18_1,,,,56.7
2018,age_18_1,,,,51.1
2019,age_18_1,,,,47.8
2020,age_18_1,,,,53.0
2021,age_18_1,,,,43.5
2022,age_18_1,,,,
2023,age_18_1,,,,
2024,age_18_1,,,,
2015,18 – 34 роки,,,,59.4
2016,18 – 34 роки,,,,57.9
2017,18 – 34 роки,,,,47.4
2018,18 – 34 роки,,,,44.3
2019,18 – 34 роки,,,,40.1
2020,18 – 34 роки,,,,44.7
2021,18 – 34 роки,,,,36.9
2022,18 – 34 роки,,,,
2023,18 – 34 роки,,,,
2024,18 – 34 роки,,,,
2015,35 – 59 років,,,,53.9
2016,35 – 59 років,,,,55.2
2017,35 – 59 років,,,,42.0
2018,35 – 59 років,,,,38.1
2019,35 – 59 років,,,,36.6
2020,35 – 59 років,,,,43.8
2021,35 – 59 років,,,,35.1
2022,35 – 59 років,,,,
2023,35 – 59 років,,,,
2024,35 – 59 років,,,,
2015,60 років і старші,,,,57.0
2016,60 років і старші,,,,58.9
2017,60 років і старші,,,,47.6
2018,60 років і старші,,,,43.5
2019,60 років і старші,,,,44.4
2020,60 років і старші,,,,50.6
2021,60 років і старші,,,,44.1
2022,60 років і старші,,,,
2023,60 років і старші,,,,
2024,60 років і старші,,,,
2015,,females_1,,,58.6
2016,,females_1,,,58.6
2017,,females_1,,,47.3
2018,,females_1,,,43.9
2019,,females_1,,,41.0
2020,,females_1,,,48.0
2021,,females_1,,,40.4
2022,,females_1,,,
2023,,females_1,,,
2024,,females_1,,,
2015,,males_1,,,58.0
2016,,males_1,,,58.5
2017,,males_1,,,47.3
2018,,males_1,,,42.4
2019,,males_1,,,41.5
2020,,males_1,,,46.2
2021,,males_1,,,37.6
2022,,males_1,,,
2023,,males_1,,,
2024,,males_1,,,
2015,,,hh_ch_1,,66.5
2016,,,hh_ch_1,,65.2
2017,,,hh_ch_1,,55.1
2018,,,hh_ch_1,,49.9
2019,,,hh_ch_1,,47.3
2020,,,hh_ch_1,,53.6
2021,,,hh_ch_1,,43.2
2022,,,hh_ch_1,,
2023,,,hh_ch_1,,
2024,,,hh_ch_1,,
2015,,,hh_ch_01,,48.8
2016,,,hh_ch_01,,50.9
2017,,,hh_ch_01,,38.1
2018,,,hh_ch_01,,35.4
2019,,,hh_ch_01,,34.3
2020,,,hh_ch_01,,39.7
2021,,,hh_ch_01,,34.4
2022,,,hh_ch_01,,
2023,,,hh_ch_01,,
2024,,,hh_ch_01,,
2015,,,,міська,55.6
2016,,,,міська,55.8
2017,,,,міська,43.6
2018,,,,міська,38.7
2019,,,,міська,36.8
2020,,,,міська,43.0
2021,,,,міська,34.1
2022,,,,міська,
2023,,,,міська,
2024,,,,міська,
2015,,,,сільська,63.6
2016,,,,сільська,64.0
2017,,,,сільська,54.4
2018,,,,сільська,52.0
2019,,,,сільська,50.1
2020,,,,сільська,55.5
2021,,,,сільська,49.0
2022,,,,сільська,
2023,,,,сільська,
2024,,,,сільська,
