Year,Стать,Місцевість проживання,Households_1,Value
2015,,,,8.9
2016,,,,8.5
2017,,,,8.0
2018,,,,6.5
2019,,,,1.0
2020,,,,1.6
2021,,,,1.7
2022,,,,
2023,,,,
2024,,,,
2015,females_1,,,8.9
2016,females_1,,,8.1
2017,Жіноча,,,7.9
2018,females_1,,,6.4
2019,females_1,,,0.9
2020,females_1,,,1.7
2021,females_1,,,1.7
2022,females_1,,,
2023,females_1,,,
2024,females_1,,,
2015,males_1,,,8.9
2016,males_1,,,8.9
2017,males_1,,,8.2
2018,males_1,,,6.7
2019,males_1,,,1.2
2020,males_1,,,1.6
2021,males_1,,,1.7
2022,males_1,,,
2023,males_1,,,
2024,males_1,,,
2015,,міська,,6.8
2016,,міська,,6.7
2017,,міська,,5.8
2018,,міська,,4.2
2019,,міська,,0.7
2020,,міська,,1.4
2021,,міська,,1.4
2022,,міська,,
2023,,міська,,
2024,,міська,,
2015,,сільська,,12.8
2016,,сільська,,11.9
2017,,сільська,,12.4
2018,,сільська,,11.0
2019,,сільська,,1.6
2020,,сільська,,2.1
2021,,сільська,,2.2
2022,,сільська,,
2023,,сільська,,
2024,,сільська,,
2015,,,hh_ch_1,12.2
2016,,,hh_ch_1,10.8
2017,,,hh_ch_1,10.1
2018,,,hh_ch_1,8.2
2019,,,hh_ch_1,1.1
2020,,,hh_ch_1,2.0
2021,,,hh_ch_1,2.0
2022,,,hh_ch_1,
2023,,,hh_ch_1,
2024,,,hh_ch_1,
2015,,,hh_ch_01,5.0
2016,,,hh_ch_01,5.8
2017,,,hh_ch_01,5.6
2018,,,hh_ch_01,4.6
2019,,,hh_ch_01,0.9
2020,,,hh_ch_01,1.3
2021,,,hh_ch_01,1.3
2022,,,hh_ch_01,
2023,,,hh_ch_01,
2024,,,hh_ch_01,
