Year,Вік,Стать,Місцевість проживання,Households_1,Value
2015,,,,,63.0
2016,,,,,70.3
2017,,,,,73.6
2018,,,,,72.0
2019,,,,,57.4
2020,,,,,55.5
2021,,,,,53.7
2022,,,,,
2023,,,,,
2024,,,,,
2015,age_18_1,,,,66.7
2016,age_18_1,,,,71.8
2017,age_18_1,,,,78.4
2018,age_18_1,,,,75.7
2019,age_18_1,,,,59.7
2020,age_18_1,,,,85.1
2021,age_18_1,,,,56.9
2022,age_18_1,,,,
2023,age_18_1,,,,
2024,age_18_1,,,,
2015,18 – 34 роки,,,,63.4
2016,18 – 34 роки,,,,73.4
2017,18 – 34 роки,,,,74.8
2018,18 – 34 роки,,,,72.7
2019,18 – 34 роки,,,,57.0
2020,18 – 34 роки,,,,52.2
2021,18 – 34 роки,,,,54.1
2022,18 – 34 роки,,,,
2023,18 – 34 роки,,,,
2024,18 – 34 роки,,,,
2015,35 – 59 років,,,,58.6
2016,35 – 59 років,,,,71.6
2017,35 – 59 років,,,,72.4
2018,35 – 59 років,,,,68.8
2019,35 – 59 років,,,,52.7
2020,35 – 59 років,,,,46.7
2021,35 – 59 років,,,,48.9
2022,35 – 59 років,,,,
2023,35 – 59 років,,,,
2024,35 – 59 років,,,,
2015,60 років і старші,,,,77.9
2016,60 років і старші,,,,71.1
2017,60 років і старші,,,,77.8
2018,60 років і старші,,,,76.4
2019,60 років і старші,,,,68.9
2020,60 років і старші,,,,49.0
2021,60 років і старші,,,,62.7
2022,60 років і старші,,,,
2023,60 років і старші,,,,
2024,60 років і старші,,,,
2015,,females_1,,,63.3
2016,,females_1,,,71.2
2017,,females_1,,,74.3
2018,,females_1,,,72.4
2019,,females_1,,,57.8
2020,,females_1,,,55.8
2021,,females_1,,,54.3
2022,,females_1,,,
2023,,females_1,,,
2024,,females_1,,,
2015,,males_1,,,62.5
2016,,males_1,,,71.5
2017,,males_1,,,73.2
2018,,males_1,,,71.4
2019,,males_1,,,56.4
2020,,males_1,,,54.0
2021,,males_1,,,52.2
2022,,males_1,,,
2023,,males_1,,,
2024,,males_1,,,
2015,,,міська,,63.3
2016,,,міська,,72.5
2017,,,міська,,76.8
2018,,,міська,,72.9
2019,,,міська,,57.8
2020,,,міська,,53.4
2021,,,міська,,53.1
2022,,,міська,,
2023,,,міська,,
2024,,,міська,,
2015,,,сільська,,60.0
2016,,,сільська,,68.9
2017,,,сільська,,67.1
2018,,,сільська,,67.0
2019,,,сільська,,52.8
2020,,,сільська,,49.4
2021,,,сільська,,44.1
2022,,,сільська,,
2023,,,сільська,,
2024,,,сільська,,
2015,,,,hh_ch_1,66.7
2016,,,,hh_ch_1,74.4
2017,,,,hh_ch_1,78.4
2018,,,,hh_ch_1,75.7
2019,,,,hh_ch_1,59.7
2020,,,,hh_ch_1,58.0
2021,,,,hh_ch_1,56.9
2022,,,,hh_ch_1,
2023,,,,hh_ch_1,
2024,,,,hh_ch_1,
2015,,,,hh_ch_01,57.2
2016,,,,hh_ch_01,64.3
2017,,,,hh_ch_01,65.5
2018,,,,hh_ch_01,66.1
2019,,,,hh_ch_01,53.7
2020,,,,hh_ch_01,51.4
2021,,,,hh_ch_01,48.7
2022,,,,hh_ch_01,
2023,,,,hh_ch_01,
2024,,,,hh_ch_01,
