Year,Область,Value
2017,,18.0
2018,,15.0
2019,,18.0
2020,,11.0
2021,,14.0
2022,,14.0
2023,,32.0
2024,,33.0
2017,Україна,18.0
2018,Україна,15.0
2019,Україна,18.0
2020,Україна,11.0
2021,Україна,14.0
2022,Україна,14.0
2023,Україна,32.0
2024,Україна,33.0
2017,Вінницька,9.0
2018,Вінницька,6.0
2019,Вінницька,13.0
2020,Вінницька,11.0
2021,Вінницька,8.0
2022,Вінницька,23.0
2023,Вінницька,32.0
2024,Вінницька,41.0
2017,Волинська,12.0
2018,Волинська,9.0
2019,Волинська,10.0
2020,Волинська,4.0
2021,Волинська,3.0
2022,Волинська,22.0
2023,Волинська,32.0
2024,Волинська,25.0
2017,Дніпропетровська,7.0
2018,Дніпропетровська,8.0
2019,Дніпропетровська,16.0
2020,Дніпропетровська,0.0
2021,Дніпропетровська,27.0
2022,Дніпропетровська,13.0
2023,Дніпропетровська,9.0
2024,Дніпропетровська,34.0
2017,Донецька,29.0
2018,Донецька,40.0
2019,Донецька,76.0
2020,Донецька,66.0
2021,Донецька,51.0
2022,Донецька,101.0
2023,Донецька,23.0
2024,Донецька,100.0
2017,Житомирська,18.0
2018,Житомирська,7.0
2019,Житомирська,7.0
2020,Житомирська,4.0
2021,Житомирська,10.0
2022,Житомирська,4.0
2023,Житомирська,5.0
2024,Житомирська,17.0
2017,Закарпатська,21.0
2018,Закарпатська,16.0
2019,Закарпатська,11.0
2020,Закарпатська,7.0
2021,Закарпатська,2.0
2022,Закарпатська,4.0
2023,Закарпатська,1.0
2024,Закарпатська,7.0
2017,17_reg_Zaporizhzhia,34.0
2018,17_reg_Zaporizhzhia,37.0
2019,17_reg_Zaporizhzhia,47.0
2020,17_reg_Zaporizhzhia,0.0
2021,17_reg_Zaporizhzhia,22.0
2022,17_reg_Zaporizhzhia,
2023,17_reg_Zaporizhzhia,
2024,17_reg_Zaporizhzhia,59.0
2017,Івано-Франківська,0.0
2018,Івано-Франківська,0.0
2019,Івано-Франківська,0.0
2020,Івано-Франківська,1.0
2021,Івано-Франківська,0.0
2022,Івано-Франківська,6.0
2023,Івано-Франківська,16.0
2024,Івано-Франківська,19.0
2017,19_reg_Kyivska,25.0
2018,19_reg_Kyivska,21.0
2019,19_reg_Kyivska,7.0
2020,19_reg_Kyivska,2.0
2021,19_reg_Kyivska,7.0
2022,19_reg_Kyivska,7.0
2023,19_reg_Kyivska,18.0
2024,19_reg_Kyivska,11.0
2017,Кіровоградська,7.0
2018,Кіровоградська,11.0
2019,Кіровоградська,3.0
2020,Кіровоградська,5.0
2021,Кіровоградська,1.0
2022,Кіровоградська,4.0
2023,Кіровоградська,9.0
2024,Кіровоградська,25.0
2017,Луганська,6.0
2018,Луганська,3.0
2019,Луганська,9.0
2020,Луганська,10.0
2021,Луганська,7.0
2022,Луганська,
2023,Луганська,
2024,Луганська,
2017,Львівська,22.0
2018,Львівська,21.0
2019,Львівська,23.0
2020,Львівська,12.0
2021,Львівська,13.0
2022,Львівська,25.0
2023,Львівська,42.0
2024,Львівська,58.0
2017,23_reg_Mykolaiv,48.0
2018,23_reg_Mykolaiv,23.0
2019,23_reg_Mykolaiv,51.0
2020,23_reg_Mykolaiv,8.0
2021,23_reg_Mykolaiv,9.0
2022,23_reg_Mykolaiv,33.0
2023,23_reg_Mykolaiv,8.0
2024,23_reg_Mykolaiv,19.0
2017,Одеська,16.0
2018,Одеська,9.0
2019,Одеська,10.0
2020,Одеська,10.0
2021,Одеська,15.0
2022,Одеська,8.0
2023,Одеська,12.0
2024,Одеська,20.0
2017,Полтавська,0.0
2018,Полтавська,0.0
2019,Полтавська,0.0
2020,Полтавська,10.0
2021,Полтавська,14.0
