Year,Region,Value
2017,,18.0
2018,,15.0
2019,,18.0
2020,,11.0
2021,,14.0
2022,,14.0
2023,,32.0
2024,,33.0
2017,Ukraine,18.0
2018,Ukraine,15.0
2019,Ukraine,18.0
2020,Ukraine,11.0
2021,Ukraine,14.0
2022,Ukraine,14.0
2023,Ukraine,32.0
2024,Ukraine,33.0
2017,11_reg_Vinnytsya,9.0
2018,11_reg_Vinnytsya,6.0
2019,11_reg_Vinnytsya,13.0
2020,11_reg_Vinnytsya,11.0
2021,11_reg_Vinnytsya,8.0
2022,11_reg_Vinnytsya,23.0
2023,11_reg_Vinnytsya,32.0
2024,11_reg_Vinnytsya,41.0
2017,12_reg_Volyn,12.0
2018,12_reg_Volyn,9.0
2019,12_reg_Volyn,10.0
2020,12_reg_Volyn,4.0
2021,12_reg_Volyn,3.0
2022,12_reg_Volyn,22.0
2023,12_reg_Volyn,32.0
2024,12_reg_Volyn,25.0
2017,13_reg_Dnipropetrovsk,7.0
2018,13_reg_Dnipropetrovsk,8.0
2019,13_reg_Dnipropetrovsk,16.0
2020,13_reg_Dnipropetrovsk,0.0
2021,13_reg_Dnipropetrovsk,27.0
2022,13_reg_Dnipropetrovsk,13.0
2023,13_reg_Dnipropetrovsk,9.0
2024,13_reg_Dnipropetrovsk,34.0
2017,14_reg_Donetsk,29.0
2018,14_reg_Donetsk,40.0
2019,14_reg_Donetsk,76.0
2020,14_reg_Donetsk,66.0
2021,14_reg_Donetsk,51.0
2022,14_reg_Donetsk,101.0
2023,14_reg_Donetsk,23.0
2024,14_reg_Donetsk,100.0
2017,15_reg_Zhytomyr,18.0
2018,15_reg_Zhytomyr,7.0
2019,15_reg_Zhytomyr,7.0
2020,15_reg_Zhytomyr,4.0
2021,15_reg_Zhytomyr,10.0
2022,15_reg_Zhytomyr,4.0
2023,15_reg_Zhytomyr,5.0
2024,15_reg_Zhytomyr,17.0
2017,16_reg_Zakarpattya,21.0
2018,16_reg_Zakarpattya,16.0
2019,16_reg_Zakarpattya,11.0
2020,16_reg_Zakarpattya,7.0
2021,16_reg_Zakarpattya,2.0
2022,16_reg_Zakarpattya,4.0
2023,16_reg_Zakarpattya,1.0
2024,16_reg_Zakarpattya,7.0
2017,17_reg_Zaporizhzhia,34.0
2018,17_reg_Zaporizhzhia,37.0
2019,17_reg_Zaporizhzhia,47.0
2020,17_reg_Zaporizhzhia,0.0
2021,17_reg_Zaporizhzhia,22.0
2022,17_reg_Zaporizhzhia,
2023,17_reg_Zaporizhzhia,
2024,17_reg_Zaporizhzhia,59.0
2017,18_reg_Ivano-Frankivsk,0.0
2018,18_reg_Ivano-Frankivsk,0.0
2019,18_reg_Ivano-Frankivsk,0.0
2020,18_reg_Ivano-Frankivsk,1.0
2021,18_reg_Ivano-Frankivsk,0.0
2022,18_reg_Ivano-Frankivsk,6.0
2023,18_reg_Ivano-Frankivsk,16.0
2024,18_reg_Ivano-Frankivsk,19.0
2017,19_reg_Kyivska,25.0
2018,19_reg_Kyivska,21.0
2019,19_reg_Kyivska,7.0
2020,19_reg_Kyivska,2.0
2021,19_reg_Kyivska,7.0
2022,19_reg_Kyivska,7.0
2023,19_reg_Kyivska,18.0
2024,19_reg_Kyivska,11.0
2017,20_reg_Kirovohrad,7.0
2018,20_reg_Kirovohrad,11.0
2019,20_reg_Kirovohrad,3.0
2020,20_reg_Kirovohrad,5.0
2021,20_reg_Kirovohrad,1.0
2022,20_reg_Kirovohrad,4.0
2023,20_reg_Kirovohrad,9.0
2024,20_reg_Kirovohrad,25.0
2017,21_reg_Luhansk,6.0
2018,21_reg_Luhansk,3.0
2019,21_reg_Luhansk,9.0
2020,21_reg_Luhansk,10.0
