Value,Disaggregation combinations using this value,Number of indicators
15-24 years,38,4
25-64 years,38,4
age_15,2,2
age_15_17,2,2
age_18,6,6
age_18_24,2,2
age_18_34,4,4
age_1_18_35,176,8
age_25_35,2,2
age_2_36_60,176,8
age_35_59,4,4
age_36_59,172,4
age_3_61,176,8
age_60,172,6
age_60_74,2,2
age_75,2,2
age_vac_1_under 1 year,12,2
age_vac_2_1 year,4,2
age_vac_3_18 months,6,2
age_vac_4_6 years,6,2
age_vac_5_14 years,2,2
age_vac_6_16 years,2,2
age_vac_7_adult,2,2
aged_15,2,2
aged_16,2,2
aged_17,2,2
aged_18,2,2
aged_19,2,2
aged_20_under,2,2
