Value,Disaggregation combinations using this value,Number of indicators
11_reg_Vinnytsya,50,38
12_reg_Volyn,50,38
13_reg_Dnipropetrovsk,322,40
14_reg_Donetsk,322,42
15_reg_Zhytomyr,50,38
16_reg_Zakarpattya,50,38
17_reg_Zaporizhzhya,322,40
18_reg_Ivano-Frankivsk,50,38
19_reg_Kyiv,50,38
20_reg_Kirovohrad,50,38
21_reg_Luhansk,324,42
22_reg_Lviv,50,38
23_reg_Mykolayiv,50,38
24_reg_Odesa,50,38
25_reg_Poltava,50,38
26_reg_Rivne,50,38
27_reg_Sumy,50,38
28_reg_Ternopil,50,38
29_reg_Kharkiv,322,40
30_reg_Kherson,50,38
31_reg_Khmelnytskiy,50,38
32_reg_Cherkasy,50,38
33_reg_Chernivtsi,50,38
34_reg_Chernihiv,50,38
35_reg_Kyiv_city,38,26
